pq_scan,pq_bar,pq_udise,pq_grade,pq_nasid,pq_section,pq_age,pq_min,pq_miny,pq_gender,pq_bpl,pq_cwsn,pq_q01,pq_q02,pq_q03,pq_q04,pq_q05,pq_q06,pq_q07,pq_q08,pq_q09,pq_q10,pq_q11,pq_q12,pq_q13,pq_q14,pq_q15,pq_q16,pq_q17,pq_q18,pq_q19,pq_q20,pq_q21,pq_q22,pq_q23,pq_q24a,pq_q24b,pq_q24c,pq_q24d,pq_q24e,pq_q24f,pq_q24g,pq_q24h,pq_q24i,pq_q25a,pq_q25b,pq_q25c,pq_q25d,pq_q25e,pq_q25f,pq_q25g,pq_q25h,pq_q25i,pq_q25j,pq_q26a,pq_q26b,pq_q26c,pq_q26d,pq_q26e,pq_q26f,pq_q26g,pq_q27a,pq_q27b,pq_q27c,pq_q27d,pq_q27e,pq_q27f,pq_q27g,pq_q28a,pq_q28b,pq_q28c,pq_q28d,pq_q28e,pq_q28f,pq_q28g,pq_q28h,pq_q29a,pq_q29b,pq_q29c,pq_q29d,pq_q29e,pq_q29f,pq_q29g,pq_q30,pq_q31,pq_q32,pq_q33,pq_q34,pq_q35,pq_q36,pq_q37,pq_q38,pq_q39,pq_q40
41000196,312040921,7040423507,3,1,A,8,1,X,2,2,2,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,2,1,2,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,2,1,3,4,2,2,2,1,1
41000197,312040922,7040423507,3,2,A,9,1,X,2,2,2,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,1,2,2,1,1,2,1,2,1,2,2,1,1,1,1,1,2,1,1,2,2,1,1,1,1,1,2,3,2,1,3,4,2,2,2,1,1
41000198,312040923,7040423507,3,3,A,8,2,X,2,2,2,1,2,9,7,3,1,4,3,4,1,1,1,2,2,2,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,Z,X,1,X,2,1,1,X,1,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
41000199,312040924,7040423507,3,4,A,8,1,1,2,X,X,6,6,7,7,3,1,1,4,1,2,2,4,1,1,1,2,1,1,3,2,2,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,1,2,2,1,2,Z,1,1,2,2,2,1,1,1,1,2,1,Z,1,2,1,2,2,2,2,1,1,1,1,1,2,3,2,1,3,4,2,2,2,1,1
41000200,312040925,7040423507,3,5,A,7,1,1,2,X,X,6,6,3,6,3,5,2,3,5,2,4,1,1,1,1,2,2,3,3,2,1,2,3,1,1,2,2,1,1,2,1,1,2,2,2,1,2,1,2,2,1,2,X,1,2,X,2,1,1,1,2,1,2,1,2,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,1,3,4,2,2,2,1,4
41000201,312040926,7040423507,3,6,A,8,1,1,2,2,2,2,2,7,7,3,1,4,2,1,2,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000202,312040927,7040423507,3,7,A,8,1,X,2,2,2,2,2,7,7,3,1,4,2,1,2,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,Z,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000203,312040928,7040423507,3,8,A,7,1,1,2,2,2,7,4,7,7,3,1,4,2,1,2,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000204,312040929,7040423507,3,9,A,7,X,X,X,X,X,2,4,7,7,3,1,4,2,1,2,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,1,2,2,2,1,2,2,1,2,1,2,2,1,1,2,1,1,2,1,2,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
41000205,312040930,7040423507,3,10,A,8,1,X,2,2,2,7,4,7,7,3,1,4,2,1,2,1,1,1,1,1,2,1,1,2,3,2,3,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,1,2,2,2,2,1,2,1,2,2,1,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,1,1,1,4,1,1,2,1,1,2
