sq_scan,tq_bar,tq_udise,tq_grade,tq_section,tq_gender,tq_emp,tq_exp,tq_pqua,tq_subj,tq_age,tq_q01,tq_q02,tq_q03,tq_q04,tq_q05,tq_q06,tq_q07,tq_q08,tq_q09,tq_q10,tq_q11,tq_q12,tq_q13,tq_q14,tq_q15,tq_q16,tq_q17,tq_q18,tq_q19,tq_q20,tq_q21,tq_q22,tq_q23,tq_q24,tq_q25,tq_q26,tq_q27,tq_q28,tq_q29,tq_q30,tq_q31,tq_q32,tq_q33,tq_q34,tq_q35,tq_q36,tq_q37,tq_q38,tq_q39,tq_q40,tq_q41,tq_q42,tq_q43,tq_q44,tq_q45,tq_q46,tq_q47,tq_q48,tq_q49,tq_q50,tq_q51,tq_q52,tq_q53,tq_q54,tq_q55,tq_q56,tq_q57,tq_q58,tq_q59,tq_q60,tq_q61,tq_q62,tq_q63,tq_q64,tq_q65,tq_q66,tq_q67,tq_q68,tq_q69,tq_q70a,tq_q70b,tq_q70c,tq_q70d,tq_q71a,tq_q71b,tq_q71c,tq_q71d,tq_q71e,tq_q71f
"41000195","822054275","07040323105","08","A","2","1","3","2","2","2","2","1","1","1","1","2","1","1","1","2","2","2","2","2","2","1","1","1","1","1","1","3","2","3","3","2","2","2","3","1","1","1","1","1","1","1","2","3","3","2","3","2","2","2","3","3","3","2","3","3","3","3","2","2","3","3","3","3","3","3","2","4","1","2","1","2","1","4","1","2","2","1","1","2","1","2","2","2","2"
"41000217","322003879","07040423507","03","X","2","1","X","1","5","2","1","1","1","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","3","2","2","3","3","2","2","3","3","2","3","2","1","2","2","2","2","2","3","3","3","2","2","2","2","3","2","3","2","2","3","3","2","3","2","2","3","3","3","1","2","2","2","3","2","2","2","1","1","2","2","2","1","1","1","1","1","1"
"41000218","322003877","07040423507","03","D","1","1","2","1","5","2","1","1","1","1","2","1","1","1","1","2","2","2","2","2","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","3","2","2","1","1","2","1","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","1","2","4","1","1","1","2","2","1","1","1","1","1","1"
"41000219","322003878","07040423507","03","C","2","1","2","1","5","2","1","1","1","1","2","2","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","3","2","3","3","3","2","2","3","2","2","2","2","1","1","2","2","2","2","3","3","3","2","2","2","2","3","2","3","2","2","3","2","2","3","2","2","3","3","3","1","4","2","2","1","2","2","2","1","1","2","2","2","1","1","1","1","1","1"
"41000243","822054253","07040322706","08","A","2","1","1","2","4","1","2","1","1","1","2","1","1","1","1","1","2","2","2","2","1","1","1","1","1","1","1","3","3","2","3","3","2","2","3","1","2","1","1","1","1","1","3","3","3","3","3","2","2","2","3","3","3","3","2","3","3","2","2","2","3","3","3","3","3","2","3","4","2","2","2","1","3","2","1","2","2","1","2","1","2","2","2","1","2"
"41000244","822054254","07040322706","08","A","1","1","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","3","3","3","2","3","3","3","2","3","2","3","3","3","3","3","3","3","3","3","2","1","2","2","1","1","1","2","2","1","2","2","1","2","2","2","2"
"41000245","822054255","07040322706","08","B","2","1","4","2","3","3","2","1","1","1","1","1","1","1","1","1","2","1","1","1","1","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","1","1","3","3","3","3","3","2","2","3","3","3","3","3","3","3","3","3","3","3","3","3","3","2","3","4","2","2","1","1","1","2","1","2","2","1","2","2","2","2","1","2","2"
"41000246","822054256","07040322706","08","A","2","1","2","2","1","2","2","1","1","1","1","1","1","1","1","1","1","1","Z","1","1","1","1","1","1","1","1","3","3","3","3","3","2","2","3","1","1","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","3","2","3","3","3","2","3","3","3","3","3","3","3","3","4","1","1","1","1","2","2","1","2","2","1","1","2","2","2","2","2","1"
"41000247","122068846","07040322706","10","A","2","1","2","2","3","2","2","1","1","1","1","2","1","1","1","2","2","2","2","1","2","1","1","1","1","1","1","3","3","3","3","3","3","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","2","2","3","3","2","3","2","3","3","3","3","3","3","3","3","3","3","3","3","2","1","1","1","2","1","2","1","X","X","X","1","X","X","X","1","X","X"
"41000248","122068847","07040322706","10","A","2","1","4","2","2","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","3","2","3","3","3","2","3","3","1","2","1","1","1","1","1","3","3","3","3","3","3","2","2","2","3","3","2","3","3","3","3","3","3","3","3","2","3","3","2","3","2","2","2","Z","2","1","2","1","2","2","2","1","2","1","2","2","2","2"
