state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,st_indicator
1,Jammu & Kashmir,eng,296,1.1,2,258,209,,,0,329,,2,337,,2,290.47,300.61,,,2,279.1,,325.14,,0,303.02,281.14,,,0,265.59,,0,285.11,,0
2,Himachal Pradesh,eng,291,1.3,2,257, ,,,3,333,,2,331,,2,285.58,296.58,,,2,280.42,,324.37,,0,303.51,271.43,,,0,280.98,,0,280.98,,0
3,Punjab,eng,330,0.5,2,321,289,,,0,338,,2,340,,2,321.03,337.49,,,2,323.93,,336.26,,0,339.37,317.63,,,0,308.21,,0,324.65,,0
4,Chandigarh,eng,345,2.6,2,298,327,,,2,392,,2,347,,2,344.98,345.48,,,1,275.91,,350.04,,0,352.8,307.63,,,0,431.39,,2,327.69,,0
5,Uttarakhand,eng,280,0.8,2,251,253,,,2,307,,2,323,,2,279.07,281.69,,,2,273.62,,291.93,,0,301.78,257.68,,,0,266.99,,0,264.96,,0
6,Haryana,eng,304,0.5,2,273,285,,,2,318,,2,329,,2,297.81,309.91,,,2,293.23,,317.9,,0,322.27,278.67,,,0,297.51,,0,293.81,,0
7,Delhi,eng,321,0.6,2,289,303,,,2,361,,2,322,,2,315.65,326.79,,,2,297.64,,321.13,,0,326.27,299.08,,,0,306.26,,0,317.65,,0
8,Rajasthan,eng,289,0.4,2,286, ,,,3,290,,2,326,,2,286.88,292.12,,,2,285.89,,296.83,,0,310.52,284.13,,,0,273.23,,0,287.64,,0
9,Uttar Pradesh,eng,253,0.2,0,244,244,,,1,256,,2,316,,2,255.5,250.4,,,0,247.9,,268.64,,0,269.16,244.3,,,0,240.8,,0,249.66,,0
10,BIHAR,eng,259,0.3,0,244,254,,,2,286,,2,329,,2,264.8,253.47,,,0,252.35,,283.09,,0,280.68,242.81,,,0,245.95,,0,254.79,,0
11,SIKKIM,eng,303,3.5,2,289,355,,,2,332,,2,350,,2,301.18,305.01,,,2,300.91,,309.67,,0,316.02,291.99,,,0,303.2,,0,301.52,,0
12,ARUNACHAL PRADESH,eng,305,3,2,278,354,,,2,337,,2,339,,2,301.34,308.74,,,2,303.4,,306.92,,0,288.98,318.46,,,2,308.78,,2,303.7,,2
13,NAGALAND,eng,312,2.6,2,269, ,,,3,321,,2,303,,2,306.09,318.68,,,2,298.5,,321.46,,0,318.41,288.16,,,0,313.16,,0,305.2,,0
14,MANIPUR,eng,311,1.8,2,263,264,,,2,315,,2,353,,2,308.25,313.97,,,2,310.23,,313.69,,0,321.93,326.1,,,2,311.02,,0,304.12,,0
15,MIZORAM,eng,279,3,1,265,289,,,2,290,,2,259,,0,272.56,284.25,,,2,253.32,,289.77,,0,305.09,276.29,,,0,279.8,,0,346.22,,2
16,TRIPURA,eng,273,1.5,0,260,272,,,2,331,,2,338,,2,267.94,277.4,,,2,266.6,,291.58,,0,283.06,267.14,,,0,268.43,,0,274.63,,0
17,MEGHALAYA,eng,278,2,1,260,271,,,2,284,,2,318,,2,276.15,279.27,,,2,269.64,,302.64,,0,307.97,301.19,,,0,273.69,,0,286.37,,0
18,ASSAM,eng,270,0.5,0,257,244,,,0,309,,2,330,,2,271.57,267.98,,,0,263.21,,300.23,,0,271.29,264.06,,,0,269.1,,0,270.83,,1
19,WEST BENGAL,eng,279,0.4,2,265,336,,,2,364,,2,342,,2,284.21,276.22,,,0,267.75,,308.66,,0,295.65,267.03,,,0,262.72,,0,268.48,,0
20,JHARKHAND,eng,269,0.4,0,254,258,,,2,290,,2,311,,2,274.7,265.43,,,0,261.72,,290.5,,0,304.83,257.01,,,0,255.99,,0,266.57,,0
21,Odisha,eng,273,0.4,0,264,257,,,0,327,,2,294,,2,274.8,272.27,,,0,264.48,,301.89,,0,302.13,262.84,,,0,254.86,,0,271.33,,0
22,Chhattisgarh,eng,257,0.4,0,243,246,,,2,289,,2,330,,2,258.16,256.27,,,0,248.35,,275.89,,0,304.88,249.46,,,0,247.96,,0,253.86,,0
23,MADHYA PRADESH,eng,273,0.3,0,268,251,,,0,284,,2,263,,0,272.12,273.49,,,2,265.34,,280.94,,0,300.53,265.54,,,0,249.18,,0,271.23,,0
24,Gujarat,eng,271,0.3,0,250,259,,,2,291,,2,296,,2,266.97,274.13,,,2,262.73,,279.48,,0,291.43,269.78,,,0,258,,0,259.81,,0
25,Daman & Diu,eng,285,6.3,1,258,309,,,2,304,,2,290,,2,279.96,289.31,,,2,286.23,,281.9,,2,294.41,293.18,,,0,253.67,,0,281.84,,0
26,Dadra & Nagar Haveli,eng,262,3.2,0,243,257,,,2,341,,2,312,,2,258.95,265.61,,,2,255.02,,278.93,,0,299.04,256.99,,,0,246.44,,0,289.22,,0
27,Maharashtra,eng,286,0.3,2,255,270,,,2,329,,2,320,,2,283.04,288.31,,,2,271.52,,300.23,,0,298.13,275.55,,,0,262.27,,0,282.2,,0
28,Andhra Pradesh,eng,291,0.5,2,266,257,,,0,327,,2,291,,2,288.55,293.4,,,2,277.62,,311.83,,0,312.04,272.51,,,0,264.04,,0,289.17,,0
29,Karnataka,eng,283,0.4,2,265,268,,,2,310,,2,325,,2,278.97,286.54,,,2,274.47,,291.13,,0,314.64,267.88,,,0,265.24,,0,281.55,,0
30,Goa,eng,338,2.9,2,277,336,,,2,389,,2,355,,2,328.84,348.17,,,2,325.63,,349.47,,0,342,319.08,,,0,299.65,,0,333.59,,0
31,Lakshadweep,eng,290,13,1,287, ,,,3, ,,3,324,,3,275.31,303.11,,,2,290.05,, ,,3,335, ,,,3,289.62,,0,277.89,,0
32,Kerala,eng,300,0.5,2,276,290,,,2,348,,2,358,,2,285.47,312.11,,,2,292.78,,315.32,,0,324.77,282.78,,,0,252.89,,0,293.82,,0
33,Tamilnadu,eng,275,0.4,0,253,258,,,2,314,,2,299,,2,265.81,281.71,,,2,272.96,,284.58,,0,286.93,258.08,,,0,250.94,,0,277.58,,0
34,Puducherry,eng,325,2.3,2,273,301,,,2,340,,2,351,,2,325.67,325.3,,,1,303.2,,340.18,,0,338.68,310.6,,,0,322.67,,0,323.2,,0
35,Andaman & Nicobar Islands,eng,310,5.4,2,282,322,,,2,352,,2,341,,2,302.73,316.34,,,2,294.87,,320.8,,0,308.91,308.42,,,1,295.55,,0,315.84,,2
36,Telangana,eng,291,0.5,2,263,301,,,2,322,,2,303,,2,286.25,294.15,,,2,271.45,,303.96,,0,324.03,277.42,,,0,269.47,,0,287.96,,0
37,Ladakh,eng,305,7.7,2,266, ,,,3,320,,2,334,,2,301.85,307.23,,,2,297.47,,317.21,,0,290.34,371.38,,,2,304.84,,2,304.5,,2
0,Z-National,eng,277,0.1,3,267,281,,,3,321,,3,322,,3,287.55,294.02,,,3,279.98,,305.12,,3,307.85,282.87,,,3,279.73,,3,289.44,,3
1,Jammu & Kashmir,mil,243,0.9,0,223,244,,,2,257,,2,280,,2,238.53,247.51,,,2,236.51,,255.04,,0,246.42,246.48,,,1,226.47,,0,240.64,,0
2,Himachal Pradesh,mil,267,1,2,253, ,,,3,282,,2,297,,2,261.06,273.21,,,2,263.51,,279.19,,0,273.38,258.96,,,0,260.72,,0,262,,0
3,Punjab,mil,288,0.4,2,290,269,,,0,288,,0,294,,2,280.88,295.01,,,2,286.88,,289.79,,0,291.2,285.41,,,0,259.07,,0,285.89,,0
