state_code,state_name,subject,ss,se,indicator,government,government_aided,se_govt,se_govt_aided,govt_indicator,private,se_private,prvt_indicator,central_govt,se_central_govt,cent_govt_indicator,ssb,ssg,seb,seg,gender_indicator,rural_ss,rural_se,urban_ss,urban_se,area_wise_indicator,general,sc,se_gen,se_sc,gen_indicator,st,se_st,st_indicator,obc,se_obc,obc_indicator
1,Jammu & Kashmir,lang,319,1.1,2,269,289,,,2,341,,2,336,,2,310.24,327.1,,,2,299.02,,349.99,,0,328.91,306.88,,,0,278.74,,0,301.81,,0
2,Himachal Pradesh,lang,315,1.2,2,288, ,,,3,331,,2,329,,2,308.27,321.62,,,2,305.65,,334.95,,0,323.97,295.1,,,0,307.92,,0,304.91,,0
3,Punjab,lang,338,0.5,2,338,306,,,0,342,,2,328,,0,328.25,347.06,,,2,334.94,,340.91,,0,343.41,329.3,,,0,299.27,,0,336.43,,0
4,Chandigarh,lang,334,1.8,2,303,325,,,2,382,,2,333,,2,331.95,336.75,,,2,305.96,,336.48,,0,340.08,310.04,,,0,255,,0,333.56,,0
5,Uttarakhand,lang,308,0.8,2,280,283,,,2,324,,2,318,,2,302.81,312.66,,,2,305.4,,310.88,,0,320.8,287.16,,,0,295.71,,0,294.89,,0
6,Haryana,lang,325,0.5,2,316,294,,,0,329,,2,327,,2,316.95,332.72,,,2,318.62,,330.87,,0,333.97,309.66,,,0,303.46,,0,315.87,,0
7,Delhi,lang,316,0.5,2,290,299,,,2,348,,2,320,,2,308.34,323.38,,,2,310.46,,315.87,,0,318.81,298.24,,,0,307.88,,0,314.3,,0
8,Rajasthan,lang,320,0.4,2,313, ,,,3,324,,2,327,,2,316.49,322.87,,,2,315.37,,327.48,,0,335.78,315.98,,,0,298.23,,0,319.84,,0
9,Uttar Pradesh,lang,286,0.2,0,281,272,,,0,296,,2,326,,2,287.26,285.26,,,0,282.76,,298.39,,0,303.41,278.01,,,0,276,,0,283.93,,0
10,BIHAR,lang,291,0.3,0,276,291,,,2,337,,2,345,,2,296.1,287.08,,,0,284.36,,328.04,,0,313.14,274.3,,,0,288.96,,0,288.15,,0
11,SIKKIM,lang,312,3.6,2,287,377,,,2,343,,2,344,,2,304.64,318.39,,,2,301.92,,329.38,,0,325.44,297.92,,,0,309.99,,0,310.56,,0
12,ARUNACHAL PRADESH,lang,308,2.5,2,275,349,,,2,331,,2,327,,2,307.18,309.28,,,2,299.79,,316.94,,0,299.59,290.51,,,0,311.03,,2,315.78,,2
13,NAGALAND,lang,312,1.8,2,273, ,,,3,326,,2,309,,2,308.43,316.2,,,2,297.36,,323.89,,0,327.47,312.34,,,0,310.37,,0,320.96,,0
14,MANIPUR,lang,320,1.4,2,271,279,,,2,327,,2,349,,2,316.17,323.59,,,2,321.72,,316.97,,2,334.41,318.72,,,0,317.76,,0,309.08,,0
15,MIZORAM,lang,297,2.7,1,267,297,,,2,316,,2,294,,2,293.77,300.25,,,2,275.36,,309.75,,0,331,307.71,,,0,296.5,,0,282.32,,0
16,TRIPURA,lang,303,1.3,1,291,313,,,2,335,,2,325,,2,298.56,307.08,,,2,293.55,,325.53,,0,319.49,302.54,,,0,281.69,,0,313.45,,0
17,MEGHALAYA,lang,280,1.2,0,260,275,,,2,309,,2,322,,2,276.45,281.82,,,2,269.31,,303.58,,0,293.85,277.48,,,0,277.82,,0,308.82,,2
18,ASSAM,lang,289,0.4,0,278,266,,,0,333,,2,330,,2,289.8,288.15,,,0,282.77,,319.16,,0,290.23,283.75,,,0,284.91,,0,290.44,,1
19,WEST BENGAL,lang,315,0.4,2,303,354,,,2,351,,2,342,,2,316.76,313.81,,,0,304.82,,339.92,,0,328.25,304.73,,,0,278.31,,0,306.46,,0
20,JHARKHAND,lang,298,0.5,0,276,293,,,2,331,,2,327,,2,298,298.15,,,1,286.43,,326.85,,0,344.3,284.37,,,0,284.05,,0,293.5,,0
21,Odisha,lang,303,0.4,2,292,288,,,0,345,,2,304,,2,299.54,305.34,,,2,292.82,,328.35,,0,332.05,288.9,,,0,277.65,,0,305.78,,0
22,Chhattisgarh,lang,295,0.5,0,278,283,,,2,316,,2,327,,2,290.03,298.73,,,2,285.66,,310.28,,0,328.51,283.88,,,0,284.8,,0,293.36,,0
23,MADHYA PRADESH,lang,306,0.3,2,301,285,,,0,314,,2,300,,0,303.32,308.3,,,2,299.79,,313.35,,0,328.88,301.74,,,0,289.47,,0,304.04,,0
24,Gujarat,lang,309,0.3,2,298,300,,,2,319,,2,317,,2,302.76,314.73,,,2,302.94,,314.66,,0,321.48,309.87,,,0,299.39,,0,302.62,,0
25,Daman & Diu,lang,302,4.6,1,277,300,,,2,328,,2,325,,2,294.46,308.58,,,2,307.86,,295.61,,2,308.38,321.61,,,2,286.1,,0,295.57,,0
26,Dadra & Nagar Haveli,lang,311,5,1,283,299,,,2,332,,2,302,,2,307.89,314.27,,,2,308.19,,313.82,,0,317.71,289.17,,,0,297.17,,0,323.82,,2
27,Maharashtra,lang,310,0.3,2,292,302,,,2,336,,2,325,,2,304.93,315.79,,,2,304.97,,316.22,,0,318.47,306.47,,,0,286.48,,0,309.99,,0
28,Andhra Pradesh,lang,292,0.5,0,273,273,,,1,316,,2,287,,2,287.85,296.33,,,2,283.84,,304.7,,0,310.57,278.47,,,0,263.16,,0,291.42,,0
29,Karnataka,lang,297,0.3,0,286,288,,,2,314,,2,315,,2,291.8,302.58,,,2,293.99,,300.62,,0,322.29,283.9,,,0,281.46,,0,297.78,,0
30,Goa,lang,324,1.9,2,268,322,,,2,395,,2,344,,2,312.6,334.45,,,2,311.27,,337.22,,0,333.71,322.41,,,0,300.09,,0,310.81,,0
31,Lakshadweep,lang,303,7.2,1,303, ,,,3, ,,3,308,,2,289.63,315.36,,,2,303.46,, ,,3,262, ,,,3,303.62,,2,330.99,,2
32,Kerala,lang,312,0.4,2,300,300,,,1,348,,2,344,,2,298.22,324.69,,,2,306.87,,322.96,,0,329.53,298.95,,,0,273.42,,0,308.21,,0
33,Tamilnadu,lang,284,0.3,0,266,278,,,2,301,,2,302,,2,273.37,293.05,,,2,282.36,,291.52,,0,288.58,272.66,,,0,259.65,,0,285.64,,0
34,Puducherry,lang,315,2,2,275,292,,,2,330,,2,335,,2,303.97,323.56,,,2,295.67,,325.94,,0,329.87,290.74,,,0,314.92,,0,314.05,,0
35,Andaman & Nicobar Islands,lang,307,4.1,1,279,295,,,2,343,,2,334,,2,302.46,311.46,,,2,290.71,,318.76,,0,311.56,290,,,0,274.9,,0,308.72,,0
36,Telangana,lang,289,0.4,0,268,302,,,2,313,,2,292,,2,283.09,294.72,,,2,275.38,,298.53,,0,313.04,277.66,,,0,272.2,,0,287.74,,0
37,Ladakh,lang,321,6.4,2,280,292,,,2,326,,2,333,,2,311.36,330.12,,,2,318.23,,325.65,,0,324.76,240.34,,,0,325.65,,1,326,,2
0,Z-National,lang,302,0.1,3,285,299,,,3,331,,3,323,,3,301.99,312.03,,,3,298.91,,319.56,,3,319.94,295.6,,,3,290.64,,3,306.53,,3
1,Jammu & Kashmir,math,264,0.9,2,248,239,,,0,272,,2,264,,2,264.02,264.2,,,1,255.41,,277.47,,0,268.85,252.49,,,0,246.28,,0,265.1,,0
2,Himachal Pradesh,math,247,0.8,0,232, ,,,3,257,,2,257,,2,247.8,247.18,,,1,243.5,,256.39,,0,252.11,237.32,,,0,240.12,,0,245.1,,0
3,Punjab,math,297,0.6,2,336,264,,,0,281,,0,264,,0,289.41,304.22,,,2,298.71,,295.07,,2,290.42,305.81,,,2,258.8,,0,303.25,,2
4,Chandigarh,math,285,1.8,2,283,257,,,0,296,,2,266,,0,284.34,285.66,,,2,266.57,,286.49,,0,285.51,275.02,,,0,259,,0,280.89,,0
5,Uttarakhand,math,253,0.7,0,239,239,,,1,262,,2,258,,2,254.17,251.9,,,0,253.06,,253,,1,259.51,240.83,,,0,248.54,,0,248.66,,0
6,Haryana,math,272,0.5,2,270,232,,,0,274,,2,266,,0,271.87,272.64,,,1,273.51,,270.99,,2,276.06,260.82,,,0,252.58,,0,271.73,,0
7,Delhi,math,253,0.4,0,235,236,,,2,276,,2,260,,2,255.93,250.9,,,0,238.91,,253.65,,0,255.56,242.42,,,0,249.28,,0,253.15,,0
8,Rajasthan,math,286,0.5,2,295, ,,,3,281,,0,272,,0,284.17,287.41,,,2,292.89,,272.42,,2,285.39,289.08,,,2,273.95,,0,288.43,,2
9,Uttar Pradesh,math,247,0.2,0,255,234,,,0,249,,0,272,,2,250.3,243.74,,,0,247.2,,245.99,,2,253.22,244.5,,,0,242.2,,0,246.51,,0
10,BIHAR,math,262,0.3,2,250,250,,,1,295,,2,312,,2,267.71,256.67,,,0,257.59,,284.33,,0,274.08,248.03,,,0,255.22,,0,261.99,,0
11,SIKKIM,math,237,2,0,230,246,,,2,244,,2,251,,2,236.38,237.42,,,2,235.9,,238.72,,0,245.22,232.3,,,0,233.76,,0,237.16,,0
12,ARUNACHAL PRADESH,math,242,1.5,0,229,259,,,2,250,,2,251,,2,244.71,240.14,,,0,241.66,,243.2,,0,241.88,246.51,,,2,241.88,,1,252.14,,2
13,NAGALAND,math,238,1,0,230, ,,,3,241,,2,243,,2,238.71,237.72,,,1,235.32,,240.43,,0,243.05,235.09,,,0,237.75,,0,239.47,,0
14,MANIPUR,math,259,1.1,2,239,248,,,2,261,,2,278,,2,259.41,258.39,,,0,257.64,,261.67,,0,265.74,273.6,,,2,247.31,,0,260.83,,0
15,MIZORAM,math,240,1.7,0,235,235,,,1,243,,2,244,,2,241.18,239.14,,,0,235.33,,242.92,,0,265.11,241.66,,,0,239.76,,0,226.05,,0
16,TRIPURA,math,252,1.2,0,245,251,,,2,271,,2,261,,2,250.34,252.79,,,2,247.92,,260.25,,0,260.99,248.06,,,0,241.12,,0,258.7,,0
17,MEGHALAYA,math,232,0.8,0,227,231,,,2,237,,2,245,,2,232.18,230.99,,,0,230.85,,233.05,,0,248.14,233.18,,,0,228.69,,0,245.65,,0
18,ASSAM,math,255,0.4,0,251,251,,,1,268,,2,261,,2,254.83,254.29,,,1,254.02,,256.96,,0,261.65,250.39,,,0,246.1,,0,246.93,,0
19,WEST BENGAL,math,258,0.4,2,248,270,,,2,291,,2,282,,2,264.03,253.4,,,0,251.89,,272.57,,0,267.83,246.78,,,0,235.45,,0,252.72,,0
20,JHARKHAND,math,256,0.4,1,248,238,,,0,272,,2,274,,2,259.69,252.57,,,0,252.47,,264.7,,0,280.43,248.12,,,0,240.04,,0,258.02,,0
21,Odisha,math,261,0.4,2,257,245,,,0,281,,2,264,,2,262.56,258.79,,,0,257.44,,268.95,,0,278.09,253.18,,,0,243.47,,0,264.6,,0
22,Chhattisgarh,math,237,0.4,0,228,227,,,1,247,,2,259,,2,237.87,235.42,,,0,232.97,,242.82,,0,256.47,229.75,,,0,230.78,,0,236.02,,0
23,MADHYA PRADESH,math,270,0.3,2,287,237,,,0,259,,0,259,,0,269.79,270.53,,,1,274.98,,264.31,,2,273.22,277.45,,,2,260.8,,0,270.58,,0
24,Gujarat,math,254,0.3,0,259,254,,,0,250,,0,258,,0,253.2,255.74,,,2,256.4,,252.34,,2,256.88,251.02,,,0,254.71,,0,253.65,,0
25,Daman & Diu,math,251,3.8,1,239,265,,,2,250,,2,247,,2,246.48,255.35,,,2,246.02,,256.08,,0,247.52,241.48,,,0,237,,0,256.74,,2
